0.005;0;0;0;16.3;0;19.6;16.2;0;0;0;0
0.045;1.458;0.09;-8.64;16.2;155;19.6;16.2;8.3;0;0;0
0.084;112.144;6.88;75.68;16.3;296;19.6;16.2;12.6;0;0;0
0.125;185.494;11.38;99.85;16.3;841;19.6;16.2;13.1;0;0;0
0.165;194.948;11.96;99.41;16.3;887;19.6;16.2;15.5;0;0;0
0.204;183.864;11.28;100.83;16.3;787;19.6;16.2;12.6;0;0;0
0.244;196.252;12.04;99.66;16.3;999;19.6;16.2;13.4;0;0;0
0.285;192.666;11.82;100.15;16.3;1219;19.6;16.2;13.1;0;0;0
0.325;186.472;11.44;100.07;16.3;1380;19.6;16.2;13.1;0;0;0
0.364;185.331;11.37;100.03;16.3;1455;19.6;16.2;13.2;0;0;0
0.405;184.679;11.33;100.1;16.3;1357;19.6;16.2;13.8;0;0;0
0.445;184.516;11.32;100.28;16.3;843;19.6;16.2;13;0;0;0
0.501;194.948;11.96;99.72;16.3;1075;19.7;16.2;15.2;0;0;0
0.524;215.649;13.23;99.97;16.3;1193;19.7;16.2;14.4;0;0;0
0.564;198.045;12.15;99.32;16.3;1819;19.7;16.2;18.1;0;0;0
0.604;155.358;9.59;63.05;16.2;2286;19.7;16.2;3.8;0;0;0
0.644;0;0;0;16.3;2689;19.8;16.2;5.9;0;0;0
0.684;0;0;0;16.3;2713;19.8;16.2;5.3;0;0;0
0.724;0;0;0;16.3;2570;19.8;16.2;4.2;0;0;0
0.764;0;0;0;16.3;2440;19.9;16.2;4.1;0;0;0
0.804;0;0;0;16.3;2250;19.9;16.2;3.7;0;0;0
0.844;0;0;0;16.3;2073;19.9;16.2;2;0;0;0
0.884;0;0;0;16.3;1930;20;16.2;1.9;0;0;0
0.924;0;0;0;16.3;1808;20;16.2;3;0;0;0
1.002;0;0;0;16.3;1559;20.1;16.2;1.4;0;0;0
1.004;0;0;0;16.3;1547;20.1;16.2;2.2;0;0;0
1.045;0;0;0;16.3;1449;20.1;16.2;2.3;0;0;0
1.085;0;0;0;16.3;1346;20.1;16.2;2;0;0;0
1.125;0;0;0;16.3;1253;20.1;16.2;2.1;0;0;0
1.165;27.221;1.67;30.89;16.3;1381;20.1;16.2;11.5;0;0;0
1.205;133.171;8.17;74.35;16.3;1641;20.2;16.2;15.7;0;0;0
1.244;230.808;14.16;93.84;16.3;2399;20.2;16.2;18.9;0;0;0
1.284;118.99;7.3;60.62;16.3;3317;20.2;16.2;14.6;0;0;0
1.325;40.261;2.47;33.87;16.3;3788;20.2;16.2;11.6;0;0;0
1.365;21.842;1.34;25.76;16.3;3955;20.2;16.3;9;0;0;0
1.405;27.71;1.7;28.32;16.3;3973;20.3;16.3;7.2;0;0;0
1.445;37.979;2.33;31.59;16.3;3765;20.2;16.3;9.7;0;0;0
1.503;43.032;2.64;35.01;16.3;3847;20.3;16.2;9.9;0;0;0
1.524;48.248;2.96;35.8;16.3;3755;20.3;16.2;11.4;0;0;0
1.564;45.966;2.82;36.19;16.3;3865;20.3;16.2;7.6;0;0;0
1.604;45.151;2.77;35.02;16.3;3780;20.3;16.2;10.6;0;0;0
1.645;41.728;2.56;34.54;16.3;3897;20.3;16.2;10.7;0;0;0
1.684;47.433;2.91;35.95;16.3;3771;20.3;16.2;10.9;0;0;0
1.725;41.565;2.55;33.69;16.3;3857;20.4;16.2;11.4;0;0;0
1.764;46.944;2.88;36.53;16.3;3850;20.4;16.2;10.7;0;0;0
1.804;43.195;2.65;34.01;16.3;3865;20.4;16.2;10.9;0;0;0
1.844;44.825;2.75;35.66;16.3;3969;20.4;16.2;9;0;0;0
1.884;46.781;2.87;35.55;16.3;3820;20.4;16.3;10.6;0;0;0
1.925;43.195;2.65;34.48;16.3;3899;20.4;16.2;11.6;0;0;0
2.003;45.966;2.82;35.55;16.3;3901;20.4;16.2;11.5;0;0;0
2.044;45.314;2.78;35.83;16.3;4004;20.4;16.2;9.9;0;0;0
2.085;48.737;2.99;36.65;16.3;3866;20.4;16.2;11.7;0;0;0
2.124;43.195;2.65;33.96;16.3;3923;20.4;16.2;11.4;0;0;0
2.164;46.781;2.87;36.26;16.3;4004;20.4;16.2;8;0;0;0
2.204;47.922;2.94;35.98;16.3;3881;20.5;16.2;11.2;0;0;0
2.244;44.01;2.7;34.85;16.3;3962;20.5;16.2;13.2;0;0;0
2.284;49.063;3.01;36.91;16.3;3934;20.5;16.2;10.9;0;0;0
2.324;45.151;2.77;34.6;16.3;3920;20.5;16.2;10.6;0;0;0
2.364;44.173;2.71;35.36;16.3;4018;20.5;16.2;10.7;0;0;0
2.404;49.878;3.06;36.95;16.3;3908;20.5;16.2;11;0;0;0
