0.027;0.167;0.01;0.16;16.7;0;21.6;28.6;-0.2;21.5;18.8;18.7
0.1;34.03;2.05;28.92;16.6;-229;21.5;28.6;10.1;21.7;18.9;18.8
0.106;96.446;5.81;70.08;16.6;-247;21.6;28.6;9.3;21.6;18.8;18.7
0.145;83.332;5.02;67.01;16.6;-202;21.6;28.6;8.8;21.5;18.8;18.7
0.186;63.08;3.8;56.74;16.6;146;21.5;28.6;8.3;21.6;18.8;18.7
0.226;59.594;3.59;55.18;16.6;241;21.4;28.6;6.4;21.7;18.8;18.7
0.265;44.156;2.66;49.94;16.6;410;21.5;28.6;6.4;21.5;18.7;18.7
0.305;40.836;2.46;44.96;16.6;530;21.5;28.6;7.4;21.5;18.8;18.7
0.345;44.322;2.67;41.92;16.6;3;21.5;28.6;12.2;21.6;18.8;18.7
0.386;161.704;9.86;92.9;16.4;-398;21.5;28.6;14.2;21.5;18.8;18.7
0.425;153.668;9.37;88.25;16.4;-442;21.5;28.6;15.2;21.5;18.7;18.6
0.465;145.632;8.88;88.72;16.4;-21;21.5;28.6;14.1;21.5;18.9;18.8
0.506;109.725;6.65;79.54;16.5;308;21.5;28.6;10.5;21.3;18.8;18.7
0.545;93.39;5.66;66.55;16.5;593;21.5;28.6;7.4;21.4;18.8;18.6
0.596;89.38;5.45;70.51;16.4;-60;21.5;28.6;12.6;21.5;18.8;18.7
0.626;176.855;10.85;96.86;16.3;-194;21.4;28.6;12.3;22.2;18.8;18.7
0.665;181.582;11.14;95.98;16.3;-207;21.4;28.6;13.9;21.5;18.8;18.6
0.705;176.366;10.82;99.71;16.3;-90;21.4;28.6;12.7;21.5;18.8;18.6
0.746;172.528;10.52;98.73;16.4;294;21.4;28.6;11.2;21.5;18.8;18.6
0.785;123.984;7.56;84.81;16.4;669;21.5;28.6;9.7;21.5;18.9;18.7
0.825;95.12;5.8;73.53;16.4;864;21.5;28.6;9.4;21.4;19;18.9
0.866;167.564;10.28;91.57;16.3;-393;21.4;28.6;13.8;21.5;18.8;18.7
0.906;170.1;10.5;98.05;16.2;-293;21.5;28.6;13.3;21.5;18.8;18.7
0.947;179.982;11.11;99.53;16.2;-165;21.5;28.6;13.8;21.6;19;18.9
0.986;188.082;11.61;100.15;16.2;164;21.5;28.6;13;21.5;18.8;18.7
1.026;177.552;10.96;99.72;16.2;618;21.5;28.6;14.5;23;18.8;18.7
